defect_id,defect_date,line,shift,product_code,defect_type,cause,severity,defect_qty,action,inspector_id
DEF-00001,2024-01-01,A라인,야간,PRD-004,외관불량,스크래치,보통,11,재작업,INS-05
DEF-00002,2024-01-01,A라인,주간,PRD-001,표면조도불량,소재불량,보통,1,특채(조건부합격),INS-05
DEF-00003,2024-01-01,A라인,야간,PRD-004,치수불량,셋업오류,보통,7,폐기,INS-01
DEF-00004,2024-01-02,A라인,야간,PRD-003,치수불량,공구마모,보통,3,폐기,INS-01
DEF-00005,2024-01-02,A라인,야간,PRD-004,형상불량,평탄도초과,보통,1,특채(조건부합격),INS-07
DEF-00006,2024-01-02,A라인,주간,PRD-001,외관불량,이물질부착,경미,14,재작업,INS-06
DEF-00007,2024-01-02,B라인,야간,PRD-006,형상불량,프로그램오류,보통,11,재작업,INS-07
DEF-00008,2024-01-02,C라인,야간,PRD-005,외관불량,이물질부착,경미,2,특채(조건부합격),INS-04
DEF-00009,2024-01-02,C라인,야간,PRD-001,외관불량,찍힘,경미,11,특채(조건부합격),INS-05
DEF-00010,2024-01-03,A라인,야간,PRD-003,표면조도불량,절삭조건부적합,심각,24,폐기,INS-02
DEF-00011,2024-01-03,A라인,주간,PRD-003,표면조도불량,공구마모,보통,6,재작업,INS-01
DEF-00012,2024-01-03,C라인,야간,PRD-003,기타,라벨오류,보통,13,재작업,INS-04
DEF-00013,2024-01-03,C라인,야간,PRD-001,치수불량,소재경도편차,보통,6,특채(조건부합격),INS-08
DEF-00014,2024-01-03,C라인,야간,PRD-005,외관불량,이물질부착,심각,15,반품,INS-01
DEF-00015,2024-01-03,C라인,야간,PRD-001,외관불량,이물질부착,보통,6,특채(조건부합격),INS-07
DEF-00016,2024-01-04,A라인,야간,PRD-001,외관불량,스크래치,경미,13,특채(조건부합격),INS-07
DEF-00017,2024-01-05,A라인,야간,PRD-001,크랙,소재결함,심각,5,폐기,INS-07
DEF-00018,2024-01-05,A라인,주간,PRD-003,치수불량,측정오류,경미,4,재작업,INS-05
DEF-00019,2024-01-05,B라인,야간,PRD-002,크랙,열처리불량,경미,3,특채(조건부합격),INS-08
DEF-00020,2024-01-06,A라인,주간,PRD-003,외관불량,변색,보통,11,폐기,INS-02
DEF-00021,2024-01-06,B라인,야간,PRD-002,기타,라벨오류,보통,12,폐기,INS-04
DEF-00022,2024-01-06,C라인,야간,PRD-003,치수불량,열변형,경미,14,재작업,INS-03
DEF-00023,2024-01-06,C라인,주간,PRD-003,치수불량,셋업오류,경미,10,특채(조건부합격),INS-07
DEF-00024,2024-01-06,C라인,야간,PRD-003,치수불량,열변형,보통,6,특채(조건부합격),INS-06
DEF-00025,2024-01-08,A라인,야간,PRD-001,기타,라벨오류,보통,7,재작업,INS-06
DEF-00026,2024-01-08,C라인,야간,PRD-001,치수불량,소재경도편차,보통,7,특채(조건부합격),INS-06
DEF-00027,2024-01-08,C라인,야간,PRD-003,외관불량,이물질부착,경미,9,특채(조건부합격),INS-08
DEF-00028,2024-01-09,A라인,주간,PRD-004,표면조도불량,냉각부족,보통,7,폐기,INS-05
DEF-00029,2024-01-09,A라인,주간,PRD-004,형상불량,동축도초과,보통,3,폐기,INS-07
DEF-00030,2024-01-09,C라인,야간,PRD-003,표면조도불량,절삭조건부적합,경미,7,특채(조건부합격),INS-07
DEF-00031,2024-01-09,C라인,주간,PRD-005,표면조도불량,소재불량,경미,1,재작업,INS-07
DEF-00032,2024-01-10,A라인,야간,PRD-003,치수불량,,보통,10,폐기,INS-04
DEF-00033,2024-01-10,A라인,야간,PRD-004,치수불량,소재경도편차,심각,9,반품,INS-06
DEF-00034,2024-01-10,A라인,야간,PRD-001,치수불량,열변형,심각,15,폐기,INS-01
DEF-00035,2024-01-10,A라인,야간,PRD-001,치수불량,공구마모,보통,10,특채(조건부합격),INS-01
DEF-00036,2024-01-10,B라인,주간,PRD-002,형상불량,진원도초과,보통,9,폐기,INS-01
DEF-00037,2024-01-10,B라인,야간,PRD-005,형상불량,동축도초과,경미,12,특채(조건부합격),INS-08
DEF-00038,2024-01-10,B라인,야간,PRD-005,치수불량,열변형,심각,9,반품,INS-07
DEF-00039,2024-01-10,C라인,주간,PRD-005,표면조도불량,냉각부족,경미,14,특채(조건부합격),INS-01
DEF-00040,2024-01-11,A라인,주간,PRD-003,외관불량,찍힘,심각,24,폐기,INS-05
DEF-00041,2024-01-11,A라인,주간,PRD-004,외관불량,스크래치,보통,14,폐기,INS-01
DEF-00042,2024-01-11,C라인,주간,PRD-001,크랙,과부하가공,심각,9,반품,INS-05
DEF-00043,2024-01-11,C라인,야간,PRD-003,표면조도불량,소재불량,경미,10,재작업,INS-04
DEF-00044,2024-01-12,A라인,야간,PRD-004,치수불량,소재경도편차,보통,14,폐기,INS-07
DEF-00045,2024-01-12,A라인,야간,PRD-003,외관불량,이물질부착,경미,14,특채(조건부합격),INS-08
DEF-00046,2024-01-12,C라인,야간,PRD-003,치수불량,셋업오류,보통,7,,INS-08
DEF-00047,2024-01-12,C라인,야간,PRD-005,치수불량,소재경도편차,보통,10,재작업,INS-04
DEF-00048,2024-01-12,C라인,주간,PRD-005,외관불량,버(burr)잔존,경미,10,재작업,INS-02
DEF-00049,2024-01-13,A라인,주간,PRD-003,형상불량,진원도초과,경미,5,재작업,INS-05
DEF-00050,2024-01-13,A라인,주간,PRD-003,외관불량,이물질부착,보통,9,재작업,INS-05
DEF-00051,2024-01-13,A라인,주간,PRD-001,형상불량,평탄도초과,심각,23,폐기,INS-06
DEF-00052,2024-01-13,C라인,야간,PRD-005,표면조도불량,소재불량,경미,5,특채(조건부합격),INS-02
DEF-00053,2024-01-13,C라인,야간,PRD-003,형상불량,동축도초과,보통,10,특채(조건부합격),INS-01
DEF-00054,2024-01-13,C라인,주간,PRD-003,크랙,열처리불량,보통,14,특채(조건부합격),INS-03
DEF-00055,2024-01-15,A라인,주간,PRD-004,표면조도불량,공구마모,보통,5,재작업,INS-04
DEF-00056,2024-01-15,A라인,야간,PRD-001,외관불량,버(burr)잔존,경미,13,특채(조건부합격),INS-06
DEF-00057,2024-01-16,B라인,주간,PRD-006,외관불량,스크래치,심각,23,폐기,INS-01
DEF-00058,2024-01-16,C라인,야간,PRD-003,외관불량,스크래치,심각,18,반품,INS-05
DEF-00059,2024-01-17,A라인,주간,PRD-001,외관불량,찍힘,심각,11,반품,INS-05
DEF-00060,2024-01-17,A라인,주간,PRD-003,외관불량,찍힘,심각,18,폐기,INS-03
DEF-00061,2024-01-17,A라인,야간,PRD-004,치수불량,측정오류,경미,9,재작업,INS-02
DEF-00062,2024-01-17,A라인,주간,PRD-001,외관불량,버(burr)잔존,보통,4,특채(조건부합격),INS-02
DEF-00063,2024-01-17,B라인,야간,PRD-002,형상불량,평탄도초과,경미,11,재작업,INS-06
DEF-00064,2024-01-17,C라인,주간,PRD-003,기타,조립불량,심각,23,폐기,INS-04
DEF-00065,2024-01-17,C라인,주간,PRD-003,외관불량,이물질부착,경미,8,특채(조건부합격),INS-08
DEF-00066,2024-01-18,C라인,주간,PRD-001,기타,포장손상,경미,5,재작업,INS-04
DEF-00067,2024-01-18,C라인,주간,PRD-001,외관불량,변색,보통,3,폐기,INS-01
DEF-00068,2024-01-19,A라인,주간,PRD-001,외관불량,버(burr)잔존,보통,2,특채(조건부합격),INS-01
DEF-00069,2024-01-19,A라인,야간,PRD-001,기타,조립불량,보통,9,폐기,INS-01
DEF-00070,2024-01-19,A라인,주간,PRD-003,외관불량,버(burr)잔존,보통,11,폐기,INS-05
DEF-00071,2024-01-19,A라인,주간,PRD-004,기타,라벨오류,경미,13,재작업,INS-01
DEF-00072,2024-01-19,B라인,주간,PRD-002,크랙,응력집중,심각,11,반품,INS-06
DEF-00073,2024-01-19,B라인,주간,PRD-005,치수불량,소재경도편차,경미,8,특채(조건부합격),INS-04
DEF-00074,2024-01-19,C라인,주간,PRD-005,표면조도불량,냉각부족,심각,13,반품,INS-02
DEF-00075,2024-01-19,C라인,주간,PRD-003,외관불량,버(burr)잔존,보통,3,폐기,INS-04
DEF-00076,2024-01-19,C라인,주간,PRD-005,외관불량,이물질부착,경미,3,재작업,INS-06
DEF-00077,2024-01-20,A라인,주간,PRD-004,크랙,열처리불량,보통,5,폐기,INS-04
DEF-00078,2024-01-20,A라인,야간,PRD-003,외관불량,변색,경미,4,특채(조건부합격),INS-06
DEF-00079,2024-01-22,A라인,주간,PRD-003,기타,세척불량,보통,7,폐기,INS-05
DEF-00080,2024-01-22,A라인,주간,PRD-004,형상불량,프로그램오류,보통,7,특채(조건부합격),INS-08
DEF-00081,2024-01-22,C라인,야간,PRD-003,외관불량,이물질부착,보통,7,특채(조건부합격),INS-05
DEF-00082,2024-01-22,C라인,주간,PRD-003,치수불량,소재경도편차,경미,9,특채(조건부합격),INS-01
DEF-00083,2024-01-23,A라인,야간,PRD-003,치수불량,공구마모,보통,11,폐기,INS-03
DEF-00084,2024-01-23,A라인,주간,PRD-003,치수불량,공구마모,보통,13,재작업,INS-01
DEF-00085,2024-01-23,A라인,야간,PRD-004,크랙,소재결함,보통,10,재작업,INS-04
DEF-00086,2024-01-23,A라인,주간,PRD-004,외관불량,찍힘,보통,4,특채(조건부합격),INS-03
DEF-00087,2024-01-23,B라인,야간,PRD-005,외관불량,버(burr)잔존,보통,5,특채(조건부합격),INS-03
DEF-00088,2024-01-23,C라인,야간,PRD-003,치수불량,측정오류,보통,5,재작업,INS-02
DEF-00089,2024-01-23,C라인,야간,PRD-001,외관불량,변색,경미,11,특채(조건부합격),INS-02
DEF-00090,2024-01-23,C라인,주간,PRD-003,기타,세척불량,보통,4,특채(조건부합격),INS-02
DEF-00091,2024-01-24,A라인,야간,PRD-004,표면조도불량,공구마모,경미,7,재작업,INS-04
DEF-00092,2024-01-24,C라인,주간,PRD-003,표면조도불량,절삭조건부적합,보통,4,재작업,INS-01
DEF-00093,2024-01-25,A라인,야간,PRD-001,치수불량,,보통,9,재작업,INS-04
DEF-00094,2024-01-25,A라인,주간,PRD-001,치수불량,열변형,보통,9,폐기,INS-01
DEF-00095,2024-01-25,C라인,야간,PRD-005,외관불량,이물질부착,보통,11,폐기,INS-04
DEF-00096,2024-01-25,C라인,야간,PRD-005,치수불량,공구마모,경미,5,재작업,INS-02
DEF-00097,2024-01-25,C라인,야간,PRD-005,외관불량,이물질부착,경미,2,특채(조건부합격),INS-06
DEF-00098,2024-01-26,A라인,야간,PRD-004,외관불량,찍힘,경미,11,재작업,INS-03
DEF-00099,2024-01-26,A라인,주간,PRD-003,치수불량,측정오류,보통,6,재작업,INS-02
DEF-00100,2024-01-26,C라인,야간,PRD-001,형상불량,진원도초과,심각,25,폐기,INS-08
DEF-00101,2024-01-27,A라인,주간,PRD-001,외관불량,찍힘,보통,13,재작업,INS-02
DEF-00102,2024-01-27,A라인,주간,PRD-001,치수불량,공구마모,심각,25,폐기,INS-02
DEF-00103,2024-01-27,A라인,주간,PRD-001,외관불량,스크래치,심각,19,폐기,INS-04
DEF-00104,2024-01-27,A라인,야간,PRD-003,형상불량,프로그램오류,경미,14,재작업,INS-06
DEF-00105,2024-01-27,B라인,주간,PRD-005,외관불량,스크래치,보통,10,재작업,INS-03
DEF-00106,2024-01-27,C라인,주간,PRD-005,형상불량,프로그램오류,심각,21,폐기,INS-03
DEF-00107,2024-01-29,A라인,야간,PRD-001,치수불량,셋업오류,경미,4,재작업,INS-05
DEF-00108,2024-01-30,A라인,주간,PRD-003,치수불량,셋업오류,보통,13,특채(조건부합격),INS-02
DEF-00109,2024-01-30,A라인,야간,PRD-003,표면조도불량,공구마모,보통,7,특채(조건부합격),INS-08
DEF-00110,2024-01-30,A라인,야간,PRD-003,치수불량,측정오류,심각,17,반품,INS-02
DEF-00111,2024-01-30,A라인,주간,PRD-004,치수불량,,보통,2,특채(조건부합격),INS-01
DEF-00112,2024-01-30,B라인,주간,PRD-006,표면조도불량,소재불량,보통,1,폐기,INS-01
DEF-00113,2024-01-30,B라인,야간,PRD-002,외관불량,이물질부착,보통,14,재작업,INS-07
DEF-00114,2024-01-30,C라인,야간,PRD-001,외관불량,,경미,2,특채(조건부합격),INS-07
DEF-00115,2024-01-31,A라인,야간,PRD-003,치수불량,소재경도편차,보통,10,폐기,INS-01
DEF-00116,2024-01-31,A라인,주간,PRD-004,치수불량,소재경도편차,경미,5,특채(조건부합격),INS-03
DEF-00117,2024-01-31,A라인,야간,PRD-001,치수불량,셋업오류,보통,10,특채(조건부합격),INS-02
DEF-00118,2024-01-31,B라인,야간,PRD-006,형상불량,프로그램오류,보통,9,재작업,INS-05
DEF-00119,2024-01-31,B라인,주간,PRD-006,치수불량,공구마모,보통,6,재작업,INS-02
DEF-00120,2024-01-31,B라인,야간,PRD-002,형상불량,진원도초과,보통,3,재작업,INS-03
DEF-00121,2024-01-31,B라인,야간,PRD-006,크랙,열처리불량,경미,7,특채(조건부합격),INS-02
DEF-00122,2024-01-31,C라인,야간,PRD-003,기타,포장손상,경미,14,,INS-07
DEF-00123,2024-01-31,C라인,주간,PRD-003,치수불량,열변형,심각,23,폐기,INS-05
DEF-00124,2024-01-31,C라인,야간,PRD-005,치수불량,소재경도편차,경미,10,재작업,INS-02
DEF-00125,2024-02-01,C라인,야간,PRD-003,외관불량,찍힘,보통,10,특채(조건부합격),INS-02
DEF-00126,2024-02-01,C라인,야간,PRD-003,외관불량,찍힘,경미,13,재작업,INS-02
DEF-00127,2024-02-02,A라인,야간,PRD-004,외관불량,스크래치,보통,6,특채(조건부합격),INS-04
DEF-00128,2024-02-03,A라인,야간,PRD-004,치수불량,셋업오류,경미,9,재작업,INS-01
DEF-00129,2024-02-03,A라인,야간,PRD-003,표면조도불량,냉각부족,경미,8,특채(조건부합격),INS-04
DEF-00130,2024-02-03,A라인,야간,PRD-003,형상불량,프로그램오류,보통,13,특채(조건부합격),INS-02
DEF-00131,2024-02-03,B라인,야간,PRD-002,크랙,응력집중,경미,6,재작업,INS-05
DEF-00132,2024-02-03,C라인,주간,PRD-003,표면조도불량,절삭조건부적합,경미,13,재작업,INS-01
DEF-00133,2024-02-03,C라인,야간,PRD-003,표면조도불량,공구마모,보통,8,재작업,INS-05
DEF-00134,2024-02-03,C라인,주간,PRD-001,외관불량,스크래치,보통,7,폐기,INS-06
DEF-00135,2024-02-05,A라인,주간,PRD-001,크랙,응력집중,보통,5,특채(조건부합격),INS-03
DEF-00136,2024-02-05,A라인,주간,PRD-004,외관불량,이물질부착,보통,4,폐기,INS-08
DEF-00137,2024-02-05,B라인,주간,PRD-006,외관불량,이물질부착,보통,3,특채(조건부합격),INS-04
DEF-00138,2024-02-05,C라인,야간,PRD-005,크랙,과부하가공,경미,2,재작업,INS-03
DEF-00139,2024-02-05,C라인,주간,PRD-005,표면조도불량,,경미,9,재작업,INS-06
DEF-00140,2024-02-05,C라인,주간,PRD-005,형상불량,평탄도초과,보통,2,재작업,INS-05
DEF-00141,2024-02-05,C라인,야간,PRD-001,외관불량,버(burr)잔존,경미,14,특채(조건부합격),INS-01
DEF-00142,2024-02-06,A라인,주간,PRD-001,기타,세척불량,보통,10,재작업,INS-08
DEF-00143,2024-02-06,A라인,야간,PRD-004,치수불량,셋업오류,경미,7,재작업,INS-06
DEF-00144,2024-02-06,A라인,야간,PRD-004,형상불량,프로그램오류,보통,5,재작업,INS-06
DEF-00145,2024-02-06,A라인,야간,PRD-001,외관불량,변색,경미,2,특채(조건부합격),INS-07
DEF-00146,2024-02-06,A라인,주간,PRD-001,형상불량,진원도초과,심각,22,폐기,INS-05
DEF-00147,2024-02-06,B라인,야간,PRD-005,외관불량,찍힘,경미,12,특채(조건부합격),INS-03
DEF-00148,2024-02-06,C라인,주간,PRD-005,외관불량,버(burr)잔존,경미,9,재작업,INS-03
DEF-00149,2024-02-07,A라인,야간,PRD-004,치수불량,셋업오류,경미,14,특채(조건부합격),INS-02
DEF-00150,2024-02-07,A라인,야간,PRD-001,외관불량,스크래치,경미,2,재작업,INS-03
DEF-00151,2024-02-07,C라인,야간,PRD-003,치수불량,측정오류,보통,11,재작업,INS-08
DEF-00152,2024-02-07,C라인,주간,PRD-001,외관불량,찍힘,보통,10,특채(조건부합격),INS-02
DEF-00153,2024-02-08,A라인,주간,PRD-004,외관불량,이물질부착,보통,13,특채(조건부합격),INS-05
DEF-00154,2024-02-08,A라인,야간,PRD-001,치수불량,셋업오류,경미,13,재작업,INS-02
DEF-00155,2024-02-08,C라인,야간,PRD-003,외관불량,찍힘,경미,10,재작업,INS-04
DEF-00156,2024-02-08,C라인,주간,PRD-005,치수불량,열변형,보통,7,폐기,INS-02
DEF-00157,2024-02-08,C라인,야간,PRD-005,크랙,과부하가공,심각,28,폐기,INS-03
DEF-00158,2024-02-08,C라인,야간,PRD-001,기타,라벨오류,보통,2,폐기,INS-07
DEF-00159,2024-02-08,C라인,주간,PRD-003,형상불량,동축도초과,보통,9,특채(조건부합격),INS-03
DEF-00160,2024-02-09,A라인,야간,PRD-004,외관불량,이물질부착,심각,10,반품,INS-07
DEF-00161,2024-02-09,A라인,야간,PRD-003,외관불량,스크래치,보통,14,재작업,INS-08
DEF-00162,2024-02-09,B라인,야간,PRD-002,치수불량,열변형,경미,1,특채(조건부합격),INS-05
DEF-00163,2024-02-09,C라인,주간,PRD-001,표면조도불량,소재불량,경미,12,재작업,INS-05
DEF-00164,2024-02-10,A라인,주간,PRD-004,외관불량,변색,보통,9,재작업,INS-06
DEF-00165,2024-02-10,A라인,주간,PRD-001,외관불량,이물질부착,심각,20,폐기,INS-03
DEF-00166,2024-02-10,C라인,야간,PRD-003,표면조도불량,냉각부족,보통,6,폐기,INS-07
DEF-00167,2024-02-12,A라인,주간,PRD-004,크랙,소재결함,보통,5,특채(조건부합격),INS-03
DEF-00168,2024-02-12,B라인,야간,PRD-002,외관불량,변색,보통,7,폐기,INS-04
DEF-00169,2024-02-12,B라인,주간,PRD-006,치수불량,소재경도편차,보통,5,폐기,INS-07
DEF-00170,2024-02-12,C라인,야간,PRD-003,치수불량,소재경도편차,보통,1,재작업,INS-03
DEF-00171,2024-02-13,A라인,야간,PRD-004,형상불량,프로그램오류,경미,14,특채(조건부합격),INS-03
DEF-00172,2024-02-13,A라인,주간,PRD-003,외관불량,찍힘,보통,2,특채(조건부합격),INS-05
DEF-00173,2024-02-13,A라인,야간,PRD-004,표면조도불량,소재불량,경미,13,특채(조건부합격),INS-02
DEF-00174,2024-02-13,A라인,야간,PRD-001,표면조도불량,소재불량,심각,11,폐기,INS-02
DEF-00175,2024-02-14,A라인,야간,PRD-004,치수불량,공구마모,보통,13,폐기,INS-02
DEF-00176,2024-02-14,A라인,야간,PRD-003,치수불량,소재경도편차,경미,12,재작업,INS-05
DEF-00177,2024-02-14,B라인,야간,PRD-002,외관불량,스크래치,경미,11,재작업,INS-06
DEF-00178,2024-02-14,B라인,야간,PRD-005,외관불량,변색,경미,3,재작업,INS-05
DEF-00179,2024-02-15,A라인,야간,PRD-004,외관불량,변색,경미,10,특채(조건부합격),INS-03
DEF-00180,2024-02-15,A라인,야간,PRD-003,표면조도불량,절삭조건부적합,심각,25,반품,INS-06
DEF-00181,2024-02-15,A라인,야간,PRD-001,외관불량,찍힘,경미,10,재작업,INS-02
DEF-00182,2024-02-15,B라인,주간,PRD-006,외관불량,스크래치,보통,4,특채(조건부합격),INS-03
DEF-00183,2024-02-15,C라인,야간,PRD-005,외관불량,버(burr)잔존,경미,4,재작업,INS-06
DEF-00184,2024-02-16,A라인,야간,PRD-003,표면조도불량,,경미,4,특채(조건부합격),INS-03
DEF-00185,2024-02-16,A라인,야간,PRD-001,치수불량,셋업오류,보통,10,폐기,INS-03
DEF-00186,2024-02-16,A라인,야간,PRD-001,크랙,응력집중,심각,13,반품,INS-07
DEF-00187,2024-02-16,B라인,주간,PRD-005,기타,포장손상,보통,12,재작업,INS-03
DEF-00188,2024-02-16,C라인,주간,PRD-003,표면조도불량,냉각부족,보통,6,폐기,INS-07
DEF-00189,2024-02-16,C라인,야간,PRD-005,치수불량,열변형,보통,12,특채(조건부합격),INS-06
DEF-00190,2024-02-16,C라인,주간,PRD-005,외관불량,버(burr)잔존,심각,19,폐기,INS-08
